x	 y
1.1337895746	5.0470348889
1.1843721419	5.0693988454
1.2351756332	5.0911877319
1.2861933225	5.1122048117
1.3374164663	5.1322433687
1.3888342045	5.1510867441
1.4404334609	5.1685084332
1.4921988456	5.1842722534
1.5441125597	5.1981325903
1.5961543022	5.2098347303
1.6483011812	5.2191152904
1.7005276299	5.2257027520
1.7528053282	5.2293181092
1.8051031317	5.2296756393
1.8573870089	5.2264838034
1.9096199881	5.2194462856
1.9617621155	5.2082631765
2.0137704255	5.1926323065
2.0655989258	5.1722507339
2.1171985977	5.1468163889
2.1685174134	5.1160298754
2.2195003727	5.0795964276
2.2700895597	5.0372280184
2.3202242210	4.9886456112
2.3698408680	4.9335815458
2.4188734024	4.8717820452
2.4672532688	4.8030098248
2.5149096322	4.7270467859
2.5617695843	4.6436967660
2.6077583762	4.5527883216
2.6527996799	4.4541775089
2.6968158770	4.3477506292
2.7397283743	4.2334269005
2.7814579461	4.1111610156
2.8219251012	3.9809455426
2.8610504727	3.8428131264
2.8987552287	3.6968384442
2.9349615014	3.5431398730
2.9695928309	3.3818808250
3.0025746208	3.2132707124
3.0338346013	3.0375655022
3.0633032958	2.8550678311
3.0909144860	2.6661266523
3.1166056715	2.4711363949
3.1403185183	2.2705356230
3.1619992910	2.0648051903
3.1815992648	1.8544658942
3.1990751109	1.6400756447
3.2143892517	1.4222261681
3.2275101804	1.2015392817
3.2384127422	0.9786627764
3.2470783713	0.7542659603
3.2534952830	0.5290349161
3.2576586168	0.3036675386
3.2595705289	0.0788684169
3.2592402331	-0.1446563658
3.2566839901	-0.3662044429
3.2519250437	-0.5850823128
3.2449935080	-0.8006103526
3.2359262033	-1.0121276292
3.2247664470	-1.2189964453
3.2115637996	-1.4206065589
3.1963737703	-1.6163790297
3.1792574870	-1.8057696466
3.1602813333	-1.9882719027
3.1395165589	-2.1634194936
3.1170388667	-2.3307883236
3.0929279834	-2.4899980107
3.0672672163	-2.6407128969
3.0401430032	-2.7826425705
3.0116444596	-2.9155419224
2.9818629269	-3.0392107586
2.9508915270	-3.1534930025
2.9188247266	-3.2582755210
2.8857579155	-3.3534866147
2.8517870005	-3.4390942141
2.8170080193	-3.5151038259
2.7815167763	-3.5815562719
2.7454085008	-3.6385252671
2.7087775313	-3.6861148760
2.6717170247	-3.7244568919
2.6343186925	-3.7537081728
2.5966725631	-3.7740479741
2.5588667718	-3.7856753054
2.5209873756	-3.7888063436
2.4831181944	-3.7836719246
2.4453406766	-3.7705151367
2.4077337880	-3.7495890311
2.3703739231	-3.7211544655
2.3333348373	-3.6854780902
2.2966875982	-3.6428304847
2.2605005554	-3.5934844496
2.2248393257	-3.5377134559
2.1897667937	-3.4757902507
2.1553431257	-3.4079856191
2.1216257941	-3.3345672968
2.0886696135	-3.2557990285
2.0565267842	-3.1719397663
2.0252469439	-3.0832430013
1.9948772250	-2.9899562186
1.9654623170	-2.8923204701
1.9370445321	-2.7905700539
1.9096638747	-2.6849322945
1.8833581110	-2.5756274126
1.8581628409	-2.4628684776
1.8341115694	-2.3468614349
1.8112357772	-2.2278051993
